fid, fiv, hid, hiv, batt, hr, hbn, hbts1, hbts2, hbts3, hbts4, hbts5, hbts6, hbts7, hbts8, hbts9, hbts10, hbts11, hbts12, hbts13, hbts14, hbts15, distance, speed, strides
26,1f,80,vd,80,111,150,25993,25481,24973,24457,23949,23433,22921,22401,21885,21369,20853,20325,19257,18709,18157,912,125,33
26,1f,80,vd,81,112,151,26513,25993,25481,24973,24457,23949,23433,22921,22401,21885,21369,20853,20325,19257,18709,912,125,33
26,1f,80,vd,80,112,152,27569,26513,25993,25481,24973,24457,23949,23433,22921,22401,21885,21369,20853,20325,19257,930,125,34
26,1f,80,vd,80,112,153,28097,27569,26513,25993,25481,24973,24457,23949,23433,22921,22401,21885,21369,20853,20325,930,125,34
26,1f,80,vd,80,112,155,29677,29145,28097,27569,26513,25993,25481,24973,24457,23949,23433,22921,22401,21885,21369,930,0,34
26,1f,80,vd,81,113,157,30705,30193,29677,29145,28097,27569,26513,25993,25481,24973,24457,23949,23433,22921,22401,930,0,34
26,1f,80,vd,81,113,158,31733,30705,30193,29677,29145,28097,27569,26513,25993,25481,24973,24457,23949,23433,22921,957,200,35
26,1f,80,vd,80,113,160,32793,32261,31733,30705,30193,29677,29145,28097,27569,26513,25993,25481,24973,24457,23949,957,200,35
26,1f,80,vd,80,113,162,33845,33317,32793,32261,31733,30705,30193,29677,29145,28097,27569,26513,25993,25481,24973,957,0,35
26,1f,80,vd,81,113,164,34945,34381,33845,33317,32793,32261,31733,30705,30193,29677,29145,28097,27569,26513,25993,957,0,35
26,1f,80,vd,81,112,165,35541,34945,34381,33845,33317,32793,32261,31733,30705,30193,29677,29145,28097,27569,26513,984,200,37
26,1f,80,vd,81,111,167,36689,36117,35541,34945,34381,33845,33317,32793,32261,31733,30705,30193,29677,29145,28097,984,200,37
26,1f,80,vd,80,110,169,37849,37269,36689,36117,35541,34945,34381,33845,33317,32793,32261,31733,30705,30193,29677,1002,125,38
26,1f,80,vd,81,109,171,38965,38417,37849,37269,36689,36117,35541,34945,34381,33845,33317,32793,32261,31733,30705,1002,125,38
26,1f,80,vd,81,109,173,40069,39513,38965,38417,37849,37269,36689,36117,35541,34945,34381,33845,33317,32793,32261,1019,125,39
26,1f,80,vd,80,109,174,40633,40069,39513,38965,38417,37849,37269,36689,36117,35541,34945,34381,33845,33317,32793,1019,125,39
