I_real,I_est,F_est,I_prob,F_prob,Calc_time,R,Quality,Highest_I_prob,Highest_F_prob
1026295355,0,0,[1.0],[0.4],65.86,1,-1,1.0,
1026295355,0,0,"[0.243, 0.757]","[0.4, 0.9900000095367432]",17.91,0,-1,0.757,0.9900000095367432
1026295355,0,0,"[0.226, 0.774]","[0.4, 0.4830000102519989]",31.68,0,-1,0.774,0.4830000102519989
1026295355,0,0,"[0.1709, 0.8291]","[0.4, 0.7129999995231628]",28.39,0,-1,0.8291,0.7129999995231628
1026295355,0,0,"[0.1572, 0.8428]","[0.4, 0.6050000190734863]",29.69,0,-1,0.8428,0.6050000190734863
1026295355,1026295355,1026295355,"[0.1964, 0.8036]","[0.0, 0.7229999899864197]",12.49,0,1.2144,0.8036,0.7229999899864197
1026295355,1026295355,1026295355,"[0.4588, 0.5412]","[0.0, 0.7590000033378601]",32.78,0,0.1648,0.5412,0.7590000033378601
1026295355,1026295355,1026295355,"[0.2076, 0.7924]","[0.0, 1.0]",26.52,0,1.1696,0.7924,1.0
1026295355,1026295355,1026295355,"[0.1118, 0.8882]","[0.0, 1.0]",33.13,0,1.5528,0.8882,1.0
1026295355,1026295355,1026295355,"[0.1922, 0.8078]","[0.0, 0.8119999766349792]",16.41,0,1.2312,0.8078,0.8119999766349792
1026295355,1026295355,0,"[0.2195, 0.7805]","[0.4, 0.3140000104904175]",13.81,0,1.122,0.7805,0.3140000104904175
1026295355,1026295355,1026295355,"[0.3031, 0.6969]","[0.0, 0.6600000262260437]",23.95,0,0.7876,0.6969,0.6600000262260437
1026295355,1026295355,1026295355,"[0.1757, 0.8243]","[0.0, 0.7870000004768372]",14.75,0,1.2972,0.8243,0.7870000004768372
1026295355,1026295355,1026295355,"[0.1074, 0.8926]","[0.0, 1.0]",37.14,0,1.5704,0.8926,1.0
1026295355,1026295355,1026295355,"[0.1869, 0.8131]","[0.0, 0.6380000114440918]",16.47,0,1.2524,0.8131,0.6380000114440918
1026295355,1026295355,1026295355,"[0.1765, 0.8235]","[0.0, 0.8960000276565552]",20.91,0,1.294,0.8235,0.8960000276565552
1026295355,1026295355,1026295355,"[0.1622, 0.8378]","[0.0, 0.8690000176429749]",14.66,0,1.3512,0.8378,0.8690000176429749
1026295355,1026295355,1026295355,"[0.195, 0.805]","[0.0, 0.7049999833106995]",14.39,0,1.22,0.805,0.7049999833106995
1031137228,0,0,"[0.6658, 0.3342]","[0.4, 0.06400000303983688]",39.21,1,0.6632,0.6658,0.06400000303983688
1031137228,1031137228,0,"[0.1636, 0.3845, 0.4519]","[0.0, 0.5, 0.5]",30.51,0,0.2022,0.4519,0.5
1031137228,0,0,"[0.4823, 0.2302, 0.2875]","[0.4, 0.07000000029802322, 0.13300000131130219]",17.28,0,0.5844,0.4823,0.13300000131130219
1026295355,1026295355,1026295355,"[0.2369, 0.7498, 0.0133]","[0.0, 0.9350000023841858, 0.07100000232458115]",25.61,0,1.5387,0.7498,0.9350000023841858
1026295355,1026295355,1026295355,"[0.1372, 0.7412, 0.1215]","[0.0, 0.7070000171661377, 0.14000000059604645]",26.75,0,1.812,0.7412,0.7070000171661377
1026295355,1026295355,1026295355,"[0.1266, 0.7325, 0.1409]","[0.0, 0.6489999890327454, 0.13199999928474426]",20.51,0,1.7748,0.7325,0.6489999890327454
1026295355,1026295355,1026295355,"[0.1452, 0.7776, 0.0772]","[0.0, 0.8190000057220459, 0.08500000089406967]",28.95,0,1.8972,0.7776,0.8190000057220459
1026295355,1026295355,1026295355,"[0.0947, 0.8276, 0.0778]","[0.0, 0.9459999799728394, 0.06700000166893005]",28.23,0,2.1987,0.8276,0.9459999799728394
1026295355,1026295355,1026295355,"[0.1135, 0.8164, 0.0701]","[0.0, 0.8730000257492065, 0.057999998331069946]",13.19,0,2.1087,0.8164,0.8730000257492065
1026295355,1026295355,1026295355,"[0.1582, 0.8075, 0.0343]","[0.0, 0.9509999752044678, 0.06199999898672104]",14.66,0,1.9479,0.8075,0.9509999752044678
1020814482,1026295355,0,"[0.1539, 0.5179, 0.3281]","[0.4, 0.35899999737739563, 0.16699999570846558]",63.35,1,0.5694,0.5179,0.35899999737739563
