I_est,F,G,A,H,T,N
0,"[0.8500000238418579, []]","['Female', 0.7229999899864197]","[28L, 1.0]","[132.39999389648438, 0.07999999821186066]","['20:43:06', '3', '16', 'September', '2009']",1
0,"[0.7889999747276306, [['1026295355', 0.9900000095367432]]]","['Female', 0.6110000014305115]","[28L, 0.4000000059604645]","[134.10000610351562, 0.07999999821186066]","['21:30:12', '3', '16', 'September', '2009']",2
0,"[0.6990000009536743, [['1026295355', 0.4830000102519989]]]","['Female', 0.5329999923706055]","[30L, 0.5]","[165.6999969482422, 0.07999999821186066]","['19:04:17', '3', '16', 'September', '2009']",3
0,"[0.765999972820282, [['1026295355', 0.7129999995231628]]]","['Female', 0.5339999794960022]","[26L, 0.6660000085830688]","[166.6999969482422, 0.07999999821186066]","['19:07:16', '3', '16', 'September', '2009']",4
0,"[0.7210000157356262, [['1026295355', 0.6050000190734863]]]","['Male', 0.5860000252723694]","[24L, 0.5]","[165.5, 0.07999999821186066]","['19:09:13', '3', '16', 'September', '2009']",5
1026295355,"[0.7910000085830688, [['1026295355', 0.7229999899864197]]]","['Female', 0.7609999775886536]","[35L, 0.4000000059604645]","[151.10000610351562, 0.07999999821186066]","['19:12:26', '3', '16', 'September', '2009']",6
1026295355,"[0.8180000185966492, [['1026295355', 0.7590000033378601]]]","['Female', 0.7649999856948853]","[29L, 0.5]","[165.0, 0L]","['19:15:04', '3', '16', 'September', '2009']",7
1026295355,"[9.999999974752427e-07, [['1026295355', 1.0]]]","['Female', 0.5]","[35L, 0L]","[181.1999969482422, 0.07999999821186066]","['19:25:55', '3', '16', 'September', '2009']",8
1026295355,"[9.999999974752427e-07, [['1026295355', 1.0]]]","['Female', 0.5]","[35L, 0L]","[156.10000610351562, 0.07999999821186066]","['19:28:33', '3', '16', 'September', '2009']",9
1026295355,"[0.8389999866485596, [['1026295355', 0.8119999766349792]]]","['Female', 0.8360000252723694]","[26L, 0.6660000085830688]","[155.1999969482422, 0.07999999821186066]","['19:21:23', '3', '16', 'September', '2009']",10
1026295355,"[0.5849999785423279, [['1026295355', 0.3140000104904175]]]","['Male', 0.6690000295639038]","[32L, 0.2849999964237213]","[154.0, 0.07999999821186066]","['19:32:17', '3', '16', 'September', '2009']",11
1026295355,"[0.6769999861717224, [['1026295355', 0.6600000262260437]]]","['Female', 0.9520000219345093]","[35L, 0.3330000042915344]","[150.10000610351562, 0.07999999821186066]","['19:39:18', '3', '16', 'September', '2009']",12
1026295355,"[0.7929999828338623, [['1026295355', 0.7870000004768372]]]","['Female', 0.8090000152587891]","[28L, 0.5]","[156.89999389648438, 0.07999999821186066]","['19:48:40', '3', '16', 'September', '2009']",13
1026295355,"[9.999999974752427e-07, [['1026295355', 1.0]]]","['Female', 0.5]","[35L, 0L]","[156.39999389648438, 0.07999999821186066]","['19:54:08', '3', '16', 'September', '2009']",14
1026295355,"[0.5979999899864197, [['1026295355', 0.6380000114440918]]]","['Female', 0.7570000290870667]","[26L, 0.4000000059604645]","[154.0, 0.07999999821186066]","['19:57:11', '3', '16', 'September', '2009']",15
1026295355,"[0.671999990940094, [['1026295355', 0.8960000276565552]]]","['Female', 0.875]","[28L, 0.5]","[153.3000030517578, 0.07999999821186066]","['20:05:23', '3', '16', 'September', '2009']",16
1026295355,"[0.8220000267028809, [['1026295355', 0.8690000176429749]]]","['Female', 0.8619999885559082]","[23L, 0.5]","[153.8000030517578, 0.07999999821186066]","['20:09:09', '3', '16', 'September', '2009']",17
1026295355,"[0.8169999718666077, [['1026295355', 0.7049999833106995]]]","['Female', 0.8640000224113464]","[25L, 0.5]","[152.0, 0.07999999821186066]","['20:12:33', '3', '16', 'September', '2009']",18
0,"[0.6579999923706055, [['1026295355', 0.06400000303983688]]]","['Male', 0.8539999723434448]","[42L, 0.125]","[134.39999389648438, 0.07999999821186066]","['20:20:11', '3', '16', 'September', '2009']",19
1031137228,"[9.999999974752427e-07, [['1026295355', 0.5], ['1031137228', 0.5]]]","['Female', 0.5]","[35L, 0L]","[179.60000610351562, 0.07999999821186066]","['20:23:52', '3', '16', 'September', '2009']",20
0,"[0.5989999771118164, [['1031137228', 0.13300000131130219], ['1026295355', 0.07000000029802322]]]","['Female', 0.5]","[0L, 0.0]","[137.0, 0.07999999821186066]","['20:26:34', '3', '16', 'September', '2009']",21
1026295355,"[0.7789999842643738, [['1026295355', 0.9350000023841858], ['1031137228', 0.07100000232458115]]]","['Female', 1.0]","[25L, 0.6660000085830688]","[151.60000610351562, 0.07999999821186066]","['21:40:21', '3', '16', 'September', '2009']",22
1026295355,"[0.7170000076293945, [['1026295355', 0.7070000171661377], ['1031137228', 0.14000000059604645]]]","['Female', 0.7730000019073486]","[25L, 1.0]","[154.89999389648438, 0.07999999821186066]","['21:48:13', '3', '16', 'September', '2009']",23
1026295355,"[0.6380000114440918, [['1026295355', 0.6489999890327454], ['1031137228', 0.13199999928474426]]]","['Female', 0.6119999885559082]","[37L, 0.2849999964237213]","[154.60000610351562, 0.07999999821186066]","['21:50:56', '3', '16', 'September', '2009']",24
1026295355,"[0.7670000195503235, [['1026295355', 0.8190000057220459], ['1031137228', 0.08500000089406967]]]","['Female', 0.8289999961853027]","[34L, 0.5]","[164.89999389648438, 0.07999999821186066]","['21:59:38', '3', '16', 'September', '2009']",25
1026295355,"[0.7390000224113464, [['1026295355', 0.9459999799728394], ['1031137228', 0.06700000166893005]]]","['Female', 0.515999972820282]","[30L, 1.0]","[158.10000610351562, 0.07999999821186066]","['22:18:05', '3', '16', 'September', '2009']",26
1026295355,"[0.7950000166893005, [['1026295355', 0.8730000257492065], ['1031137228', 0.057999998331069946]]]","['Female', 0.5830000042915344]","[29L, 1.0]","[149.10000610351562, 0.07999999821186066]","['22:24:25', '3', '16', 'September', '2009']",27
1026295355,"[0.6690000295639038, [['1026295355', 0.9509999752044678], ['1031137228', 0.06199999898672104]]]","['Female', 0.9700000286102295]","[27L, 0.6660000085830688]","[162.8000030517578, 0.07999999821186066]","['19:20:26', '3', '16', 'September', '2009']",28
1026295355,"[0.6589999794960022, [['1026295355', 0.35899999737739563], ['1031137228', 0.16699999570846558]]]","['Male', 0.906000018119812]","[18L, 0.6660000085830688]","[172.10000610351562, 0.07999999821186066]","['19:32:54', '3', '16', 'September', '2009']",29
