I,F,G,A,H,T,R,N
1020813120,"[0.6899999976158142, [['1020813120', 1.0]]]","['Female', 0.9129999876022339]","[28L, 0.5]","[135.5, 0.07999999821186066]","['19:07:57', '3', '16', 'September', '2009']",1,1
1020813120,"[0.859000027179718, [['1020813120', 0.7519999742507935]]]","['Female', 1.0]","[27L, 0.5]","[136.6999969482422, 0.07999999821186066]","['19:11:05', '3', '16', 'September', '2009']",0,2
1020813120,"[0.7120000123977661, [['1020813120', 0.9300000071525574]]]","['Female', 1.0]","[23L, 0.5]","[136.6999969482422, 0.07999999821186066]","['19:15:50', '3', '16', 'September', '2009']",0,3
1020813120,"[0.6700000166893005, [['1020813120', 0.16699999570846558]]]","['Male', 0.6420000195503235]","[30L, 0.22200000286102295]","[131.8000030517578, 0.07999999821186066]","['19:18:11', '3', '16', 'September', '2009']",0,4
1020813120,"[0.8050000071525574, [['1020813120', 0.8119999766349792]]]","['Female', 0.890999972820282]","[26L, 0.5]","[132.89999389648438, 0.07999999821186066]","['19:20:23', '3', '16', 'September', '2009']",0,5
1020813120,"[0.7620000243186951, [['1020813120', 0.9169999957084656]]]","['Female', 1.0]","[21L, 0.5]","[132.10000610351562, 0.07999999821186066]","['19:23:25', '3', '16', 'September', '2009']",0,6
1020813120,"[0.8159999847412109, [['1020813120', 0.9139999747276306]]]","['Female', 0.8569999933242798]","[17L, 0.6660000085830688]","[138.8000030517578, 0.07999999821186066]","['19:32:19', '3', '16', 'September', '2009']",0,7
1026295355,"[0.8109999895095825, [['1026295355', 1.0], ['1020813120', 0.32199999690055847]]]","['Female', 1.0]","[23L, 0.4000000059604645]","[166.39999389648438, 0.07999999821186066]","['19:36:11', '3', '16', 'September', '2009']",1,8
1026295355,"[0.7630000114440918, [['1026295355', 0.8769999742507935], ['1020813120', 0.4009999930858612]]]","['Female', 1.0]","[21L, 0.5]","[146.3000030517578, 0.07999999821186066]","['19:38:16', '3', '16', 'September', '2009']",0,9
1020813120,"[0.640999972820282, [['1020813120', 0.9179999828338623], ['1026295355', 0.45899999141693115]]]","['Female', 1.0]","[21L, 0.6660000085830688]","[132.10000610351562, 0.07999999821186066]","['19:40:34', '3', '16', 'September', '2009']",0,10
