fid, fiv, hid, hiv, batt, hr, hbn, hbts1, hbts2, hbts3, hbts4, hbts5, hbts6, hbts7, hbts8, hbts9, hbts10, hbts11, hbts12, hbts13, hbts14, hbts15, distance, speed, strides
26,1f,80,1d,22,66,207,51965,51029,50229,49405,48565,47697,46765,45793,44829,43857,42921,41941,40981,40045,39109,530,0,105
26,1f,80,1d,19,66,208,52933,51965,51029,50229,49405,48565,47697,46765,45793,44829,43857,42921,41941,40981,40045,549,150,106
26,1f,80,1d,21,65,209,53933,52933,51965,51029,50229,49405,48565,47697,46765,45793,44829,43857,42921,41941,40981,549,150,106
26,1f,80,1d,22,65,210,54897,53933,52933,51965,51029,50229,49405,48565,47697,46765,45793,44829,43857,42921,41941,587,306,108
26,1f,80,1d,19,65,211,55801,54897,53933,52933,51965,51029,50229,49405,48565,47697,46765,45793,44829,43857,42921,587,306,108
26,1f,80,1d,22,65,212,56737,55801,54897,53933,52933,51965,51029,50229,49405,48565,47697,46765,45793,44829,43857,605,125,109
26,1f,80,1d,17,64,213,57717,56737,55801,54897,53933,52933,51965,51029,50229,49405,48565,47697,46765,45793,44829,605,125,109
26,1f,80,1d,19,64,214,58661,57717,56737,55801,54897,53933,52933,51965,51029,50229,49405,48565,47697,46765,45793,634,225,110
26,1f,80,1d,17,64,215,59605,58661,57717,56737,55801,54897,53933,52933,51965,51029,50229,49405,48565,47697,46765,634,225,110
26,1f,80,1d,19,64,216,60561,59605,58661,57717,56737,55801,54897,53933,52933,51965,51029,50229,49405,48565,47697,651,125,111
